,CDW,CDWOD,t,S00,S01,S02,S03,S04,S05,rid
0,0.006165327805602819,0.006165327805602819,0,1.2692561574925973,1.2421753586687905,1.3689347840838517,1.4298480453012106,1.4135801777745447,1.2772071323688157,F1
1,0.00827670182870017,0.00827670182870017,4,1.2688810657635081,1.2255369704047765,1.3432513202649505,1.42914438472865,1.3870314352726407,1.2651989951144733,F1
2,0.013849246325120886,0.013849246325120886,8,1.2682880878410234,1.199076632886711,1.2996671701459643,1.4279686953824944,1.3453440257312481,1.2471885294086187,F1
3,0.023817115375750694,0.023817115375750694,12,1.2672112929802326,1.1525928654224682,1.2292299744499318,1.425875237349147,1.276340507200768,1.2176038610491258,F1
4,0.04053542097997724,0.04053542097997724,16,1.2654474971384784,1.080757583298872,1.1123844754438252,1.4221342046391978,1.1612966195604904,1.16780169687477,F1
5,0.06812019691530094,0.06812019691530094,20,1.2623052628510092,0.9642333557123294,0.9101752339180281,1.4149997260404434,0.9915387796150245,1.086709663935499,F1
6,0.11344951762442945,0.11344951762442945,24,1.2551620063166327,0.765984255305259,0.5822342536560747,1.399917200404231,0.7039075989903839,0.9523510575155731,F1
7,0.18441270542308938,0.18441270542308938,28,1.2359733532367596,0.46073397674587063,0.13763540539638275,1.3643943207978222,0.35601783054272207,0.7509863795933447,F1
8,0.26653827834479876,0.26653827834479876,32,1.1647882154446771,0.12074755558310342,0.000608233449092673,1.2646494548769671,0.09391310178113288,0.5240942473942913,F1
9,0.33909328036196945,0.33909328036196945,36,0.7771560224908187,0.004045126617720412,1.239559357229774e-07,1.0260950726250488,0.011983475705370733,0.30522694209727375,F1
10,0.41833828415325897,0.41833828415325897,40,0.030925327426152265,3.9625762501409466e-05,2.6381644762745055e-12,0.6565576026777505,0.0007446390508001443,0.14747417342629845,F1
11,0.4804966400865559,0.4804966400865559,44,6.42564246905389e-07,1.9312342744704278e-07,1.0925034130038705e-17,0.26766707230472325,2.667938454086696e-05,0.05385143836550375,F1
12,0.5163664529892279,0.5163664529892279,48,0.0,6.639365409341662e-10,0.0,0.061865354742378156,6.374331400072281e-07,0.01874287665338647,F1
13,0.5336697891563649,0.5336697891563649,52,0.0,7.065137391972084e-13,0.0,0.009513499079793503,1.4416174367866046e-08,0.006039619716013336,F1
14,0.5405530464970546,0.5405530464970546,56,0.0,0.0,0.0,0.0013331124901377178,2.8461373540450177e-10,0.001963897880704019,F1
15,0.5429102133527431,0.5429102133527431,60,0.0,0.0,0.0,0.00014569157734173061,4.90595810310702e-12,0.0006127495852605661,F1
16,0.5435284505564275,0.5435284505564275,64,0.0,0.0,0.0,1.571942707566735e-05,8.527445336987837e-14,0.00018202057848283306,F1
17,0.5435113323465598,0.5435113323465598,68,0.0,0.0,0.0,1.883529749986367e-06,0.0,5.282074287360615e-05,F1
18,0.543266750753983,0.543266750753983,72,0.0,0.0,0.0,2.3471404452740064e-07,0.0,1.5721400543674167e-05,F1
19,0.5429419680595892,0.5429419680595892,76,0.0,0.0,0.0,2.8388876804322767e-08,0.0,4.77197773817901e-06,F1
20,0.5425891292591932,0.5425891292591932,80,0.0,0.0,0.0,3.512336390604518e-09,0.0,1.538418433271791e-06,F1
21,0.5422266415979007,0.5422266415979007,84,0.0,0.0,0.0,4.715501495792065e-10,0.0,4.464444878592463e-07,F1
22,0.5418609549574097,0.5418609549574097,88,0.0,0.0,0.0,5.1016102487281017e-11,0.0,1.2699767957696632e-07,F1
23,0.5414943142089272,0.5414943142089272,92,0.0,0.0,0.0,0.0,0.0,3.7936589088047323e-08,F1
24,0.5411275045886349,0.5411275045886349,96,0.0,0.0,0.0,0.0,0.0,1.1735579361241031e-08,F1
25,0.5407607989382778,0.5407607989382778,100,0.0,0.0,0.0,0.0,0.0,3.6329566009835653e-09,F1
26,0.5403942914165328,0.5403942914165328,104,0.0,0.0,0.0,0.0,0.0,1.148217151164871e-09,F1
27,0.5400280149384931,0.5400280149384931,108,0.0,0.0,0.0,0.0,0.0,0.0,F1
28,0.5396619808912783,0.5396619808912783,112,0.0,0.0,0.0,0.0,0.0,0.0,F1
29,0.5392961929791665,0.5392961929791665,116,0.0,0.0,0.0,0.0,0.0,0.0,F1
30,0.538930652499157,0.538930652499157,120,0.0,0.0,0.0,0.0,0.0,0.0,F1
31,0.5385653595121135,0.5385653595121135,124,0.0,0.0,0.0,0.0,0.0,0.0,F1
32,0.538200313863315,0.538200313863315,128,0.0,0.0,0.0,0.0,0.0,0.0,F1
33,0.537835515474851,0.537835515474851,132,0.0,0.0,0.0,0.0,0.0,0.0,F1
34,0.5374709642688108,0.5374709642688108,136,0.0,0.0,0.0,0.0,0.0,0.0,F1
35,0.5371066601672838,0.5371066601672838,140,0.0,0.0,0.0,0.0,0.0,0.0,F1
36,0.5367426030283708,0.5367426030283708,144,0.0,0.0,0.0,0.0,0.0,0.0,F1
37,0.5363787926405553,0.5363787926405553,148,0.0,0.0,0.0,0.0,0.0,0.0,F1
38,0.01815029154059295,0.01815029154059295,0,1.3294346849885696,1.2532068004997172,1.3517496375202305,1.4393683507065258,1.4062738343275554,1.3035390390207384,F2
39,0.0245536195058043,0.0245536195058043,4,1.3281989044968185,1.2053242556866748,1.2743380163995606,1.437115826877257,1.3273741606967782,1.267273851787904,F2
40,0.040885973584131936,0.040885973584131936,8,1.3261383418855883,1.1380080258555103,1.1458867693438415,1.433398147075001,1.2058668108979134,1.2119450712647584,F2
41,0.06977525735782271,0.06977525735782271,12,1.322657605469284,1.0166425146975466,0.9276774143718197,1.4265382240120126,1.022448687870216,1.1243556746431842,F2
42,0.11622591900155031,0.11622591900155031,16,1.3150633789099158,0.8148018714264009,0.6118212401022789,1.4114921846263966,0.7352158283698526,0.9884626384132654,F2
43,0.18921679807997382,0.18921679807997382,20,1.2962413386955036,0.47659369641381877,0.1318571808703869,1.3780091568432307,0.3542355145903087,0.7776133504086602,F2
44,0.2772998246389032,0.2772998246389032,24,1.2175974826622928,0.1007485642417112,0.00022290251984453103,1.2774848193197035,0.08398364776689758,0.5188721679617531,F2
45,0.3547894566460127,0.3547894566460127,28,0.7399052800577842,0.0037922932995139535,8.992309952235448e-09,1.0146405155136426,0.00845571489695516,0.30013691901190725,F2
46,0.44046082856922336,0.44046082856922336,32,0.010172405427550822,2.737525662618402e-05,0.0,0.6053542700509796,0.0004967000524745915,0.13365430678019694,F2
47,0.5018442131486367,0.5018442131486367,36,3.912384824031208e-08,1.8323628102069196e-07,0.0,0.23891803528083003,1.6677221752937742e-05,0.05147101864641133,F2
48,0.5359898569797772,0.5359898569797772,40,0.0,3.5843791381948937e-10,0.0,0.05385816543119518,4.390070539321394e-07,0.017830382656617818,F2
49,0.5522298688482882,0.5522298688482882,44,0.0,2.067595544888235e-13,0.0,0.007373066644178604,7.312050550273787e-09,0.005836727147927866,F2
50,0.5585973927663245,0.5585973927663245,48,0.0,0.0,0.0,0.0008842678773424523,1.3675565276641375e-10,0.0017382433351469688,F2
51,0.5607261666425369,0.5607261666425369,52,0.0,0.0,0.0,0.00010583228958633087,1.985504130620536e-12,0.0005393637264581549,F2
52,0.5612492060191435,0.5612492060191435,56,0.0,0.0,0.0,1.3166468348454168e-05,3.037569740661754e-14,0.00015966561225522994,F2
53,0.5611894618801432,0.5611894618801432,60,0.0,0.0,0.0,1.688840836593653e-06,4.535377691253166e-16,4.732556832241542e-05,F2
54,0.5609220706435228,0.5609220706435228,64,0.0,0.0,0.0,2.1573876683300838e-07,1.1756895259913891e-17,1.3434675808907583e-05,F2
55,0.5605814498649883,0.5605814498649883,68,0.0,0.0,0.0,0.0,0.0,4.1256746193132265e-06,F2
56,0.5602153087728862,0.5602153087728862,72,0.0,0.0,0.0,0.0,0.0,1.1450202483098307e-06,F2
57,0.5598404171645256,0.5598404171645256,76,0.0,0.0,0.0,0.0,0.0,3.799794498388699e-07,F2
58,0.559462630724494,0.559462630724494,80,0.0,0.0,0.0,0.0,0.0,1.1661830153823704e-07,F2
59,0.5590840031601282,0.5590840031601282,84,0.0,0.0,0.0,0.0,0.0,3.574612961220071e-08,F2
60,0.5587052513113966,0.5587052513113966,88,0.0,0.0,0.0,0.0,0.0,1.0847272365683663e-08,F2
61,0.5583266239464768,0.5583266239464768,92,0.0,0.0,0.0,0.0,0.0,3.347523850776391e-09,F2
62,0.5579482077780251,0.5579482077780251,96,0.0,0.0,0.0,0.0,0.0,3.70644831045252e-10,F2
63,0.5575700324298878,0.5575700324298878,100,0.0,0.0,0.0,0.0,0.0,0.0,F2
64,0.5571921079673152,0.5571921079673152,104,0.0,0.0,0.0,0.0,0.0,0.0,F2
65,0.5568144380394294,0.5568144380394294,108,0.0,0.0,0.0,0.0,0.0,0.0,F2
66,0.5564370233073601,0.5564370233073601,112,0.0,0.0,0.0,0.0,0.0,0.0,F2
67,0.5560598639508675,0.5560598639508675,116,0.0,0.0,0.0,0.0,0.0,0.0,F2
68,0.5556829601117821,0.5556829601117821,120,0.0,0.0,0.0,0.0,0.0,0.0,F2
69,0.5553063117516257,0.5553063117516257,124,0.0,0.0,0.0,0.0,0.0,0.0,F2
70,0.5549299186761861,0.5549299186761861,128,0.0,0.0,0.0,0.0,0.0,0.0,F2
71,0.5545537807153589,0.5545537807153589,132,0.0,0.0,0.0,0.0,0.0,0.0,F2
72,0.5541778976990394,0.5541778976990394,136,0.0,0.0,0.0,0.0,0.0,0.0,F2
73,0.5538022694571227,0.5538022694571227,140,0.0,0.0,0.0,0.0,0.0,0.0,F2
74,0.5534268958195045,0.5534268958195045,144,0.0,0.0,0.0,0.0,2.2624806268298776e-16,0.0,F2
75,0.5530517766160801,0.5530517766160801,148,0.0,0.0,0.0,0.0,2.881449991708613e-16,0.0,F2
76,0.021329929743609508,0.021329929743609508,0,1.345975683872195,1.2004207133694849,1.3344830553647604,1.282441096100114,1.2958114945983488,1.2564568342766906,F3
